PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,COIS,TT,DEP,RN,CN,EIN,CIN,SI,AUID,RF,CRF,FIR,IR,CON,PMCR,PS,FPS,OID,RIN,GS
21889116,NLM,MEDLINE,20120606,20220410,1552-5279 (Electronic) 1552-5260 (Print) 1552-5260 (Linking),7,5,2011 Sep,Neuropsychiatric symptoms in Alzheimer's disease.,532-9,10.1016/j.jalz.2011.05.2410 [doi],"Neuropsychiatric symptoms (NPS) are core features of Alzheimer's disease and related dementias. Once thought to emerge primarily in people with late-stage disease, these symptoms are currently known to manifest commonly in very early disease and in prodromal phases, such as mild cognitive impairment. Despite decades of research, reliable treatments for dementia-associated NPS have not been found, and those that are in widespread use present notable risks for people using these medications. An Alzheimer's Association Research Roundtable was convened in the spring of 2010 to review what is known about NPS in Alzheimer's disease, to discuss classification and underlying neuropathogenesis and vulnerabilities, and to formulate recommendations for new approaches to tailored therapeutics.","[""Copyright (c) 2011 The Alzheimer's Association. Published by Elsevier Inc. All"", 'rights reserved.']","['Lyketsos, Constantine G', 'Carrillo, Maria C', 'Ryan, J Michael', 'Khachaturian, Ara S', 'Trzepacz, Paula', 'Amatniek, Joan', 'Cedarbaum, Jesse', 'Brashear, Robert', 'Miller, David S']","['Lyketsos CG', 'Carrillo MC', 'Ryan JM', 'Khachaturian AS', 'Trzepacz P', 'Amatniek J', 'Cedarbaum J', 'Brashear R', 'Miller DS']","['Department of Psychiatry, The Johns Hopkins Bayview, Baltimore, MD, USA.']",['eng'],"['P50 AG005146/AG/NIA NIH HHS/United States', 'P50 AG005146-29/AG/NIA NIH HHS/United States', 'P50AG005146/AG/NIA NIH HHS/United States']","['Consensus Development Conference', 'Editorial', 'Research Support, N.I.H., Extramural']",United States,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978,IM,"['Aged', 'Aggression/physiology/psychology', 'Alzheimer Disease/diagnosis/*physiopathology/*psychology', 'Apathy/physiology', 'Cognitive Dysfunction/diagnosis/*physiopathology/*psychology', 'Depressive Disorder/diagnosis/etiology/physiopathology', 'Humans', 'Neurocognitive Disorders/diagnosis/*physiopathology/*psychology']",PMC3299979,['NIHMS358445'],2011/09/06 06:00,2012/06/07 06:00,['2011/09/06 06:00'],"['2011/05/15 00:00 [received]', '2011/05/16 00:00 [accepted]', '2011/09/06 06:00 [entrez]', '2011/09/06 06:00 [pubmed]', '2012/06/07 06:00 [medline]']","['S1552-5260(11)02575-1 [pii]', '10.1016/j.jalz.2011.05.2410 [doi]']",ppublish,Alzheimers Dement. 2011 Sep;7(5):532-9. doi: 10.1016/j.jalz.2011.05.2410.,,,,,,,,,,,,,,,,,,,,,,
28304309,NLM,MEDLINE,20180223,20180605,1875-8908 (Electronic) 1387-2877 (Linking),57,4,2017,Mouse Models of Alzheimer's Disease.,1171-1183,10.3233/JAD-170045 [doi],"Alzheimer's disease (AD) is a neurodegenerative disorder that nowadays affects more than 40 million people worldwide and it is predicted to exponentially increase in the coming decades. Because no curative treatment exists, research on the pathophysiology of the disease, as well as the testing of new drugs, are mandatory. For these purposes, animal models constitute a valuable, although perfectible tool. This review takes a tour through several aspects of mouse models of AD, such as the generation of transgenic models, the relevance of the promoter driving the expression of the transgenes, and the concrete transgenes used to simulate AD pathophysiology. Then, transgenic mouse lines harboring mutated human genes at several loci such as APP, PSEN1, APOEvarepsilon4, and ob (leptin) are reviewed. Therefore, not only the accumulation of the Abeta peptide is emulated but also cholesterol and insulin metabolism. Further novel information about the disease will allow for the development of more accurate animal models, which in turn will undoubtedly be helpful for bringing preclinical research closer to clinical trials in humans.",,"['Esquerda-Canals, Gisela', 'Montoliu-Gaya, Laia', 'Guell-Bosch, Jofre', 'Villegas, Sandra']","['Esquerda-Canals G', 'Montoliu-Gaya L', 'Guell-Bosch J', 'Villegas S']","['Protein Folding and Stability Group, Departament de Bioquimica i Biologia Molecular, Facultat de Biociencies, Universitat Autonoma de Barcelona, Cerdanyola del Valles, Spain.', 'Departament de Biologia Cel.lular, Fisiologia i Immunologia, Unitat de Citologia i Histologia, Facultat de Biociencies, Universitat Autonoma de Barcelona, Cerdanyola del Valles, Spain.', 'Protein Folding and Stability Group, Departament de Bioquimica i Biologia Molecular, Facultat de Biociencies, Universitat Autonoma de Barcelona, Cerdanyola del Valles, Spain.', 'Protein Folding and Stability Group, Departament de Bioquimica i Biologia Molecular, Facultat de Biociencies, Universitat Autonoma de Barcelona, Cerdanyola del Valles, Spain.', 'Protein Folding and Stability Group, Departament de Bioquimica i Biologia Molecular, Facultat de Biociencies, Universitat Autonoma de Barcelona, Cerdanyola del Valles, Spain.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['*Alzheimer Disease/genetics/pathology/physiopathology', 'Animals', '*Disease Models, Animal', 'Humans', '*Mice, Transgenic']",,,2017/03/18 06:00,2018/02/24 06:00,['2017/03/18 06:00'],"['2017/03/18 06:00 [pubmed]', '2018/02/24 06:00 [medline]', '2017/03/18 06:00 [entrez]']","['JAD170045 [pii]', '10.3233/JAD-170045 [doi]']",ppublish,J Alzheimers Dis. 2017;57(4):1171-1183. doi: 10.3233/JAD-170045.,['NOTNLM'],"['APP', ""Alzheimer's disease"", 'PS1', 'amyloid-beta', 'animal models', 'apoE', 'ob mutation']",,,,,,,,,,,,,,,,,,,,
30776012,NLM,MEDLINE,20200529,20220409,1875-8908 (Electronic) 1387-2877 (Print) 1387-2877 (Linking),67,3,2019,Is Alzheimer's Disease Risk Modifiable?,795-819,10.3233/JAD181028 [doi],"Population-based clinic-pathological studies have established that the most common pathological substrate of dementia in community-dwelling elderly people is mixed, especially Alzheimer's disease (AD) and cerebrovascular ischemic disease (CVID), rather than pure AD. While these could be just two frequent unrelated comorbidities in the elderly, epidemiological research has reinforced the idea that mid-life (age <65 years) vascular risk factors increase the risk of late-onset (age >/= 65 years) dementia, and specifically AD. By contrast, healthy lifestyle choices such as leisure activities, physical exercise, and Mediterranean diet are considered protective against AD. Remarkably, several large population-based longitudinal epidemiological studies have recently indicated that the incidence and prevalence of dementia might be decreasing in Western countries. Although it remains unclear whether these positive trends are attributable to neuropathologically definite AD versus CVID, based on these epidemiological data it has been estimated that a sizable proportion of AD cases could be preventable. In this review, we discuss the current evidence about modifiable risk factors for AD derived from epidemiological, preclinical, and interventional studies, and analyze the opportunities for therapeutic and preventative interventions.",,"['Serrano-Pozo, Alberto', 'Growdon, John H']","['Serrano-Pozo A', 'Growdon JH']","['Department of Neurology, Massachusetts General Hospital, Boston, MA, USA.', 'Harvard Medical School, Boston, MA, USA.', 'Department of Neurology, Massachusetts General Hospital, Boston, MA, USA.', 'Harvard Medical School, Boston, MA, USA.']",['eng'],"['P50 AG005134/AG/NIA NIH HHS/United States', 'R25 NS065743/NS/NINDS NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/epidemiology/etiology/*prevention & control', 'Genetic Predisposition to Disease/genetics', 'Humans', 'Prevalence', 'Risk Factors']",PMC6708279,['NIHMS1046843'],2019/02/19 06:00,2020/05/30 06:00,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2020/05/30 06:00 [medline]']","['JAD181028 [pii]', '10.3233/JAD181028 [doi]']",ppublish,J Alzheimers Dis. 2019;67(3):795-819. doi: 10.3233/JAD181028.,['NOTNLM'],"['Alcohol drinking', ""Alzheimer's disease"", 'dementia', 'diabetes mellitus', 'diet', 'education', 'exercise', 'hyperlipidemia', 'hypertension', 'smoking']",,,,,,,,,,,,,,,,,,,,
28372330,NLM,MEDLINE,20180226,20220330,1875-8908 (Electronic) 1387-2877 (Linking),58,1,2017,The Gut Microbiota and Alzheimer's Disease.,1-15,10.3233/JAD-161141 [doi],"The gut microbiota comprises a complex community of microorganism species that resides in our gastrointestinal ecosystem and whose alterations influence not only various gut disorders but also central nervous system disorders such as Alzheimer's disease (AD). AD, the most common form of dementia, is a neurodegenerative disorder associated with impaired cognition and cerebral accumulation of amyloid-beta peptides (Abeta). Most notably, the microbiota-gut-brain axis is a bidirectional communication system that is not fully understood, but includes neural, immune, endocrine, and metabolic pathways. Studies in germ-free animals and in animals exposed to pathogenic microbial infections, antibiotics, probiotics, or fecal microbiota transplantation suggest a role for the gut microbiota in host cognition or AD-related pathogenesis. The increased permeability of the gut and blood-brain barrier induced by microbiota dysbiosis may mediate or affect AD pathogenesis and other neurodegenerative disorders, especially those associated with aging. In addition, bacteria populating the gut microbiota can secrete large amounts of amyloids and lipopolysaccharides, which might contribute to the modulation of signaling pathways and the production of proinflammatory cytokines associated with the pathogenesis of AD. Moreover, imbalances in the gut microbiota can induce inflammation that is associated with the pathogenesis of obesity, type 2 diabetes mellitus, and AD. The purpose of this review is to summarize and discuss the current findings that may elucidate the role of the gut microbiota in the development of AD. Understanding the underlying mechanisms may provide new insights into novel therapeutic strategies for AD.",,"['Jiang, Chunmei', 'Li, Guangning', 'Huang, Pengru', 'Liu, Zhou', 'Zhao, Bin']","['Jiang C', 'Li G', 'Huang P', 'Liu Z', 'Zhao B']","['Guangdong Key Laboratory of Age-Related Cardiac and Cerebral Diseases, Institute of Neurology, Department of Neurology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China.', ""Department of Neurology, Huadu District People's Hospital, Southern Medical University, Guangzhou, China."", 'Guangdong Key Laboratory of Age-Related Cardiac and Cerebral Diseases, Institute of Neurology, Department of Neurology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China.', 'Guangdong Key Laboratory of Age-Related Cardiac and Cerebral Diseases, Institute of Neurology, Department of Neurology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China.', 'Guangdong Key Laboratory of Age-Related Cardiac and Cerebral Diseases, Institute of Neurology, Department of Neurology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['*Alzheimer Disease/microbiology/pathology/physiopathology', 'Brain/*physiopathology', 'Gastrointestinal Microbiome/*physiology', 'Gastrointestinal Tract/*microbiology/physiopathology', 'Humans']",,,2017/04/05 06:00,2018/02/27 06:00,['2017/04/05 06:00'],"['2017/04/05 06:00 [pubmed]', '2018/02/27 06:00 [medline]', '2017/04/05 06:00 [entrez]']","['JAD161141 [pii]', '10.3233/JAD-161141 [doi]']",ppublish,J Alzheimers Dis. 2017;58(1):1-15. doi: 10.3233/JAD-161141.,['NOTNLM'],"['Aging', ""Alzheimer's disease"", 'amyloid', 'amyloid beta-peptides', 'blood-brain barrier', 'dysbiosis', 'gut microbiota', 'lipopolysaccharides', 'obesity', 'type 2 diabetes mellitus']",,,,,,,,,,,,,,,,,,,,
30298180,NLM,MEDLINE,20191108,20191108,2426-0266 (Electronic) 2274-5807 (Print) 2274-5807 (Linking),5,4,2018,Female Sex and Alzheimer's Risk: The Menopause Connection.,225-230,10.14283/jpad.2018.34 [doi],"Along with advanced age and apolipoprotein E (APOE)-4 genotype, female sex is a major risk factor for developing late-onset Alzheimer's disease (AD). Considering that AD pathology begins decades prior to clinical symptoms, the higher risk in women cannot simply be accounted for by their greater longevity as compared to men. Recent investigation into sex-specific pathophysiological mechanisms behind AD risk has implicated the menopause transition (MT), a midlife neuroendocrine transition state unique to females. Commonly characterized as ending in reproductive senescence, many symptoms of MT are neurological, including disruption of estrogen-regulated systems such as thermoregulation, sleep, and circadian rhythms, as well as depression and impairment in multiple cognitive domains. Preclinical studies have shown that, during MT, the estrogen network uncouples from the brain bioenergetic system. The resulting hypometabolic state could serve as the substrate for neurological dysfunction. Indeed, translational brain imaging studies demonstrate that 40-60 year-old perimenopausal and postmenopausal women exhibit an AD-endophenotype characterized by decreased metabolic activity and increased brain amyloid-beta deposition as compared to premenopausal women and to age-matched men. This review discusses the MT as a window of opportunity for therapeutic interventions to compensate for brain bioenergetic crisis and combat the subsequent increased risk for AD in women.",,"['Scheyer, O', 'Rahman, A', 'Hristov, H', 'Berkowitz, C', 'Isaacson, R S', 'Diaz Brinton, R', 'Mosconi, L']","['Scheyer O', 'Rahman A', 'Hristov H', 'Berkowitz C', 'Isaacson RS', 'Diaz Brinton R', 'Mosconi L']","['Lisa Mosconi, PhD, Department of Neurology, Weill Cornell Medicine, 428 East 72nd St, Suite 500, Room 407, New York, NY, 10021; Tel: (212) 746-4624, Email: lim2035@med.cornell.edu.']",['eng'],"['P01 AG026572/AG/NIA NIH HHS/United States', 'UL1 TR002384/TR/NCATS NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",Switzerland,J Prev Alzheimers Dis,The journal of prevention of Alzheimer's disease,101638820,IM,"['Alzheimer Disease/etiology/*physiopathology/prevention & control', 'Brain/*physiopathology', 'Female', 'Hormone Replacement Therapy', 'Humans', '*Menopause', 'Risk Factors']",PMC6198681,['NIHMS990068'],2018/10/10 06:00,2019/11/09 06:00,['2018/10/10 06:00'],"['2018/10/10 06:00 [entrez]', '2018/10/10 06:00 [pubmed]', '2019/11/09 06:00 [medline]']",['10.14283/jpad.2018.34 [doi]'],ppublish,J Prev Alzheimers Dis. 2018;5(4):225-230. doi: 10.14283/jpad.2018.34.,['NOTNLM'],"[""Alzheimer's disease"", 'Perimenopause', 'brain imaging', 'early detection', 'women']",['The authors declare no disclosures.'],,,,,,,,,,,,,,,,,,,
33950641,NLM,MEDLINE,20210614,20210614,0807-7096 (Electronic) 0029-2001 (Linking),141,7,2021 May 4,[Alzheimer's disease - diagnosis and treatment].,,10.4045/tidsskr.20.0919 [doi],"Alzheimer's disease is the most common cause of dementia globally. Its prevalence will increase considerably in the years to come, in pace with the increasing proportion of older people. No disease-modifying treatment is currently available. Measures to mitigate risk in mid-life may potentially prevent or postpone up to 40 % of dementia cases at group level.",,"['Knapskog, Anne-Brita', 'Engedal, Knut', 'Selbaek, Geir', 'Oksengard, Anne-Rita']","['Knapskog AB', 'Engedal K', 'Selbaek G', 'Oksengard AR']",,['nor'],,['Journal Article'],Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Aged', '*Alzheimer Disease/diagnosis/epidemiology/therapy', 'Humans']",,,2021/05/06 06:00,2021/06/16 06:00,['2021/05/05 16:11'],"['2021/05/06 06:00 [pubmed]', '2021/06/16 06:00 [medline]', '2021/05/05 16:11 [entrez]']","['20-0919 [pii]', '10.4045/tidsskr.20.0919 [doi]']",epublish,Tidsskr Nor Laegeforen. 2021 Apr 29;141(7). doi: 10.4045/tidsskr.20.0919. Print 2021 May 4.,,,,Alzheimers sykdom - diagnostikk og behandling.,20210429,,,,,,,,,,,,,,,,,
25024325,NLM,MEDLINE,20150723,20220408,1875-8908 (Electronic) 1387-2877 (Linking),42,4,2014,Biomarkers for preclinical Alzheimer's disease.,1051-69,10.3233/JAD-140843 [doi],"Currently, there is a pressing need to shift the focus to accurate detection of the earliest phase of increasingly preclinical Alzheimer's disease (AD). Meanwhile, the growing recognition that the pathophysiological process of AD begins many years prior to clinically obvious symptoms and the concept of a presymptomatic or preclinical stage of AD are becoming more widely accepted. Advances in clinical identification of new measurements will be critical not only in the discovery of sensitive, specific, and reliable biomarkers of preclinical AD but also in the development of tests that will aid in the early detection and differential diagnosis of dementia and in monitoring disease progression. The goal of this review is to provide an overview of biomarkers for preclinical AD, with emphasis on neuroimaging and neurochemical biomarkers. We conclude with a discussion of emergent directions for AD biomarker research.",,"['Tan, Chen-Chen', 'Yu, Jin-Tai', 'Tan, Lan']","['Tan CC', 'Yu JT', 'Tan L']","['Department of Neurology, Qingdao Municipal Hospital, School of Medicine, Qingdao University, China.', 'Department of Neurology, Qingdao Municipal Hospital, School of Medicine, Qingdao University, China College of Medicine and Pharmaceutics, Ocean University of China, China Department of Neurology, Qingdao Municipal Hospital, Nanjing Medical University, China.', 'Department of Neurology, Qingdao Municipal Hospital, School of Medicine, Qingdao University, China College of Medicine and Pharmaceutics, Ocean University of China, China Department of Neurology, Qingdao Municipal Hospital, Nanjing Medical University, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/*diagnosis/genetics/metabolism/pathology', 'Animals', 'Biomarkers/metabolism', 'Brain/pathology', 'Early Diagnosis', 'Humans', 'Prodromal Symptoms']",,,2014/07/16 06:00,2015/07/24 06:00,['2014/07/16 06:00'],"['2014/07/16 06:00 [entrez]', '2014/07/16 06:00 [pubmed]', '2015/07/24 06:00 [medline]']","['AUWW15UP22625111 [pii]', '10.3233/JAD-140843 [doi]']",ppublish,J Alzheimers Dis. 2014;42(4):1051-69. doi: 10.3233/JAD-140843.,['NOTNLM'],"['Biomarker', 'blood', 'cerebrospinal fluid biomarkers', 'clinical biomarkers', 'genetic biomarkers', 'neuroimaging', ""preclinical Alzheimer's disease""]",,,,['0 (Biomarkers)'],,,,,,,,,,,,,,,,
27179961,NLM,MEDLINE,20171002,20220311,1552-5279 (Electronic) 1552-5260 (Linking),12,6,2016 Jun,Neuroinflammation in Alzheimer's disease: Current evidence and future directions.,719-32,S1552-5260(16)30185-6 [pii] 10.1016/j.jalz.2016.02.010 [doi],"Several attempts have been made to treat Alzheimer's disease (AD) using anti-amyloid strategies with disappointing results. It is clear that the ""amyloid cascade hypothesis"" alone cannot fully explain the neuronal damage in AD, as evidenced both by autopsy and imaging studies. Neuroinflammation plays a significant role in neurodegenerative diseases, whereas the debate is ongoing about its precise role, whether it is protective or harmful. In this review, we focus on the potential mechanism of glial activation and how local and systemic factors influence disease progression. We focus on neuroinflammation in AD, especially in the earliest stages, a vicious cycle of glial priming, release of pro-inflammatory factors, and neuronal damage. We review the evidence from imaging studies, regarding the temporal relationship between amyloid deposition and neuroinflammation, the influence of systemic inflammation on glial activation, both in acute and chronic stimulation and the relevance of inflammation as a diagnostic and therapeutic target.","[""Copyright (c) 2016 The Alzheimer's Association. Published by Elsevier Inc. All"", 'rights reserved.']","['Calsolaro, Valeria', 'Edison, Paul']","['Calsolaro V', 'Edison P']","['Neurology Imaging Unit, Imperial College London, UK.', 'Neurology Imaging Unit, Imperial College London, UK. Electronic address: paul.edison@imperial.ac.uk.']",['eng'],['G84/6523/MRC_/Medical Research Council/United Kingdom'],"['Journal Article', 'Review']",United States,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978,IM,"['Alzheimer Disease/*complications/diagnostic imaging/genetics', 'Cytokines/metabolism', 'Encephalitis/diagnostic imaging/*etiology/genetics', 'Humans', 'Neuroimaging']",,,2016/05/18 06:00,2017/10/03 06:00,['2016/05/16 06:00'],"['2015/06/17 00:00 [received]', '2016/02/14 00:00 [revised]', '2016/02/25 00:00 [accepted]', '2016/05/16 06:00 [entrez]', '2016/05/18 06:00 [pubmed]', '2017/10/03 06:00 [medline]']","['S1552-5260(16)30185-6 [pii]', '10.1016/j.jalz.2016.02.010 [doi]']",ppublish,Alzheimers Dement. 2016 Jun;12(6):719-32. doi: 10.1016/j.jalz.2016.02.010. Epub 2016 May 11.,['NOTNLM'],"[""Alzheimer's"", 'Microglia', 'Neurodegeneration', 'Neuroinflammation', 'PET', 'Systemic inflammation']",,,20160511,['0 (Cytokines)'],,,,,,,,,,,,,,,,
27570871,NLM,MEDLINE,20170103,20220408,1552-5279 (Electronic) 1552-5260 (Linking),12,4,2016 Apr,2016 Alzheimer's disease facts and figures.,459-509,,"This report describes the public health impact of Alzheimer's disease, including incidence and prevalence, mortality rates, costs of care, and the overall impact on caregivers and society. It also examines in detail the financial impact of Alzheimer's on families, including annual costs to families and the difficult decisions families must often make to pay those costs. An estimated 5.4 million Americans have Alzheimer's disease. By mid-century, the number of people living with Alzheimer's disease in the United States is projected to grow to 13.8 million, fueled in large part by the aging baby boom generation. Today, someone in the country develops Alzheimer's disease every 66 seconds. By 2050, one new case of Alzheimer's is expected to develop every 33 seconds, resulting in nearly 1 million new cases per year. In 2013, official death certificates recorded 84,767 deaths from Alzheimer's disease, making it the sixth leading cause of death in the United States and the fifth leading cause of death in Americans age >/= 65 years. Between 2000 and 2013, deaths resulting from stroke, heart disease, and prostate cancer decreased 23%, 14%, and 11%, respectively, whereas deaths from Alzheimer's disease increased 71%. The actual number of deaths to which Alzheimer's disease contributes is likely much larger than the number of deaths from Alzheimer's disease recorded on death certificates. In 2016, an estimated 700,000 Americans age >/= 65 years will die with Alzheimer's disease, and many of them will die because of the complications caused by Alzheimer's disease. In 2015, more than 15 million family members and other unpaid caregivers provided an estimated 18.1 billion hours of care to people with Alzheimer's and other dementias, a contribution valued at more than $221 billion. Average per-person Medicare payments for services to beneficiaries age >/= 65 years with Alzheimer's disease and other dementias are more than two and a half times as great as payments for all beneficiaries without these conditions, and Medicaid payments are 19 times as great. Total payments in 2016 for health care, long-term care and hospice services for people age >/= 65 years with dementia are estimated to be $236 billion. The costs of Alzheimer's care may place a substantial financial burden on families, who often have to take money out of their retirement savings, cut back on buying food, and reduce their own trips to the doctor. In addition, many family members incorrectly believe that Medicare pays for nursing home care and other types of long-term care. Such findings highlight the need for solutions to prevent dementia-related costs from jeopardizing the health and financial security of the families of people with Alzheimer's and other dementias.",,,,,['eng'],,['Journal Article'],United States,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978,IM,"['Alzheimer Disease/diagnosis/*economics/*epidemiology/therapy', 'Cost of Illness', 'Health Care Costs/statistics & numerical data', 'Humans', 'Public Health/statistics & numerical data', 'Research Report', 'United States/epidemiology']",,,2016/08/30 06:00,2017/01/04 06:00,['2016/08/30 06:00'],"['2016/08/30 06:00 [entrez]', '2016/08/30 06:00 [pubmed]', '2017/01/04 06:00 [medline]']","['S1552-5260(16)00085-6 [pii]', '10.1016/j.jalz.2016.03.001 [doi]']",ppublish,Alzheimers Dement. 2016 Apr;12(4):459-509. doi: 10.1016/j.jalz.2016.03.001.,,,,,,,"[""Alzheimer's Association""]",,,,,,,,,,,,,,,
28269772,NLM,MEDLINE,20170825,20231112,1875-8908 (Electronic) 1387-2877 (Print) 1387-2877 (Linking),57,3,2017,"Recent Progress in Alzheimer's Disease Research, Part 3: Diagnosis and Treatment.",645-665,10.3233/JAD-160907 [doi],"The field of Alzheimer's disease (AD) research has grown exponentially over the past few decades, especially since the isolation and identification of amyloid-beta from postmortem examination of the brains of AD patients. Recently, the Journal of Alzheimer's Disease (JAD) put forth approximately 300 research reports which were deemed to be the most influential research reports in the field of AD since 2010. JAD readers were asked to vote on these most influential reports. In this 3-part review, we review the results of the 300 most influential AD research reports to provide JAD readers with a readily accessible, yet comprehensive review of the state of contemporary research. Notably, this multi-part review identifies the ""hottest"" fields of AD research providing guidance for both senior investigators as well as investigators new to the field on what is the most pressing fields within AD research. Part 1 of this review covers pathogenesis, both on a molecular and macro scale. Part 2 review genetics and epidemiology, and part 3 covers diagnosis and treatment. This part of the review, diagnosis and treatment, reviews the latest diagnostic criteria, biomarkers, imaging, and treatments in AD.",,"['Hane, Francis T', 'Robinson, Morgan', 'Lee, Brenda Y', 'Bai, Owen', 'Leonenko, Zoya', 'Albert, Mitchell S']","['Hane FT', 'Robinson M', 'Lee BY', 'Bai O', 'Leonenko Z', 'Albert MS']","['Department of Chemistry, Lakehead University, Thunder Bay, ON, Canada.', 'Thunder Bay Regional Research Institute, Thunder Bay, ON, Canada.', 'Department of Biology, University of Waterloo, Waterloo, ON, Canada.', 'Department of Biology, University of Waterloo, Waterloo, ON, Canada.', 'Department of Biology, University of Waterloo, Waterloo, ON, Canada.', 'Thunder Bay Regional Research Institute, Thunder Bay, ON, Canada.', 'Department of Biology, University of Waterloo, Waterloo, ON, Canada.', 'Department of Physics and Astronomy, University of Waterloo, Waterloo, ON, Canada.', 'Department of Chemistry, Lakehead University, Thunder Bay, ON, Canada.', 'Thunder Bay Regional Research Institute, Thunder Bay, ON, Canada.', 'Northern Ontario School of Medicine, Thunder Bay, ON, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/*diagnosis/*therapy', 'Biomarkers/*metabolism', '*Biomedical Research', 'Humans', 'Neuroimaging/*methods']",PMC5389048,,2017/03/09 06:00,2017/08/26 06:00,['2017/03/09 06:00'],"['2017/03/09 06:00 [pubmed]', '2017/08/26 06:00 [medline]', '2017/03/09 06:00 [entrez]']","['JAD160907 [pii]', '10.3233/JAD-160907 [doi]']",ppublish,J Alzheimers Dis. 2017;57(3):645-665. doi: 10.3233/JAD-160907.,['NOTNLM'],"[""Alzheimer's disease"", 'MRI', 'PET', 'biomarkers', 'diagnosis', 'mild cognitive impairment', 'treatment']",,,,['0 (Biomarkers)'],,,,,,,,,,,,,,,,
