PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,AB,AUID,PMC,COIS,OTO,OT,GR,RN,CI,RF,CON,MID,CIN,CN,TT,PS,FPS,SPIN,EIN,OID,ORI
35961405,NLM,MEDLINE,20220913,20220920,1873-1740 (Electronic) 0033-0620 (Linking),73,2022 Jul-Aug,Progress in Cardiovascular Diseases Statistics 2022.,94-95,S0033-0620(22)00087-1 [pii] 10.1016/j.pcad.2022.08.005 [doi],"['Lavie, Carl J']",['Lavie CJ'],"['Ochsner Heart and Vascular Institute, New Orleans, LA, United States of America. Electronic address: clavie@ochsner.org.']",['eng'],['Editorial'],20220809,United States,Prog Cardiovasc Dis,Progress in cardiovascular diseases,0376442,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/therapy', 'Humans']",2022/08/13 06:00,2022/09/14 06:00,['2022/08/12 19:23'],"['2022/08/13 06:00 [pubmed]', '2022/09/14 06:00 [medline]', '2022/08/12 19:23 [entrez]']","['S0033-0620(22)00087-1 [pii]', '10.1016/j.pcad.2022.08.005 [doi]']",ppublish,Prog Cardiovasc Dis. 2022 Jul-Aug;73:94-95. doi: 10.1016/j.pcad.2022.08.005. Epub 2022 Aug 9.,,,,,,,,,,,,,,,,,,,,,,
35563086,NLM,MEDLINE,20220517,20220518,1422-0067 (Electronic) 1422-0067 (Linking),23,2022 Apr 23,"Cardiovascular Diseases-A Focus on Atherosclerosis, Its Prophylaxis, Complications and Recent Advancements in Therapies.",,10.3390/ijms23094695 [doi] 4695,"['Buldak, Lukasz']",['Buldak L'],"['Department of Internal Medicine and Clinical Pharmacology, Medical University of Silesia, Medykow 18, 40-752 Katowice, Poland.']",['eng'],['Editorial'],20220423,Switzerland,Int J Mol Sci,International journal of molecular sciences,101092791,IM,"['*Atherosclerosis/drug therapy/etiology/prevention & control', '*Cardiovascular Diseases/drug therapy/etiology/prevention & control', 'Humans']",2022/05/15 06:00,2022/05/18 06:00,['2022/05/14 01:03'],"['2022/04/10 00:00 [received]', '2022/04/20 00:00 [accepted]', '2022/05/14 01:03 [entrez]', '2022/05/15 06:00 [pubmed]', '2022/05/18 06:00 [medline]']","['ijms23094695 [pii]', 'ijms-23-04695 [pii]', '10.3390/ijms23094695 [doi]']",epublish,Int J Mol Sci. 2022 Apr 23;23(9):4695. doi: 10.3390/ijms23094695.,9,Long-term consequences of atherosclerosis remain the major culprit of mortality in developed and developing countries [...].,['ORCID: 0000-0002-2017-5516'],PMC9103939,['The author declares no conflict of interest.'],,,,,,,,,,,,,,,,,
25176558,NLM,MEDLINE,20150219,20160307,1784-3286 (Print) 1784-3286 (Linking),69,2014 Dec,Cardiovascular disease prevention.,407-11,10.1179/2295333714Y.0000000069 [doi],"['Van Camp, G']",['Van Camp G'],,['eng'],"['Journal Article', 'Review']",20140831,England,Acta Clin Belg,Acta clinica Belgica,0370306,IM,"['Cardiovascular Diseases/diagnosis/etiology/*prevention & control', 'Europe', 'Humans', 'Prognosis', 'Risk Assessment/methods']",2014/09/02 06:00,2015/02/20 06:00,['2014/09/02 06:00'],"['2014/09/02 06:00 [entrez]', '2014/09/02 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.1179/2295333714Y.0000000069 [doi]'],ppublish,Acta Clin Belg. 2014 Dec;69(6):407-11. doi: 10.1179/2295333714Y.0000000069. Epub 2014 Aug 31.,6,"Cardiovascular diseases remain the first killer in the Western countries. Equivalent contributions of prevention initiatives, pharmaceutical developments and technological improvements have led to an important success in the reduction of mortality related to cardiovascular diseases in some of the countries of the Western world. However, increase in life expectance, incomplete adherence to guidelines, difficulties in convincing governments and the population to support and adhere to prevention measures make that the burden of cardiovascular diseases is still extremely high. This review gives a restricted summary of the most important prevention guidelines supported by the European Society of Cardiology. It also illustrates the still very incomplete adherence to these guidelines in the different European countries as published in the EUROASPIRE surveys.",,,,['NOTNLM'],"['Cardiology,', 'Cardiovascular diseases', 'Prevention,']",,,,,,,,,,,,,,,
31942675,NLM,MEDLINE,20200914,20200914,1937-5395 (Electronic) 1937-5387 (Linking),13,2020 Feb,Editorial: Gender Differences in Cardiovascular Diseases.,1-2,10.1007/s12265-020-09956-9 [doi],"['Zhou, Qiulian', 'Bei, Yihua']","['Zhou Q', 'Bei Y']","['Shanghai Applied Radiation Institute, School of Environmental and Chemical Engineering, Shanghai University, Shanghai, 200444, China.', 'Cardiac Regeneration and Ageing Lab, Institute of Cardiovascular Sciences, School of Life Science, Shanghai University, 333 Nan Chen Road, Shanghai, 200444, China.', 'Cardiac Regeneration and Ageing Lab, Institute of Cardiovascular Sciences, School of Life Science, Shanghai University, 333 Nan Chen Road, Shanghai, 200444, China. beiyh36@shu.edu.cn.']",['eng'],"['Editorial', 'Introductory Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Cardiovasc Transl Res,Journal of cardiovascular translational research,101468585,IM,"['Animals', '*Cardiovascular Diseases/diagnosis/epidemiology/physiopathology/therapy', 'Female', 'Health Status Disparities', 'Healthcare Disparities', 'Humans', 'Male', 'Risk Factors', 'Sex Distribution', 'Sex Factors']",2020/01/17 06:00,2020/09/15 06:00,['2020/01/17 06:00'],"['2020/01/17 06:00 [pubmed]', '2020/09/15 06:00 [medline]', '2020/01/17 06:00 [entrez]']","['10.1007/s12265-020-09956-9 [pii]', '10.1007/s12265-020-09956-9 [doi]']",ppublish,J Cardiovasc Transl Res. 2020 Feb;13(1):1-2. doi: 10.1007/s12265-020-09956-9.,1,,,,,,,,,,,,,,,,,,,,,
34443563,NLM,MEDLINE,20210906,20210906,1420-3049 (Electronic) 1420-3049 (Linking),26,2021 Aug 17,Biological Activities of Paeonol in Cardiovascular Diseases: A Review.,,10.3390/molecules26164976 [doi] 4976,"['Vellasamy, Shalini', 'Murugan, Dharmani', 'Abas, Razif', 'Alias, Aspalilah', 'Seng, Wu Yuan', 'Woon, Choy Ker']","['Vellasamy S', 'Murugan D', 'Abas R', 'Alias A', 'Seng WY', 'Woon CK']","['Department of Microbiology and Parasitology, School of Medicine, Faculty of Medicine, Bioscience and Nursing, MAHSA University, Jenjarum 42610, Selangor, Malaysia.', 'Department of Pharmacology, Faculty of Medicine, University of Malaya, Kuala Lumpur 50603, Malaysia.', 'Department of Human Anatomy, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Seri Kembangan 43400, Selangor, Malaysia.', 'Department of Basic Sciences and Oral Biology, Faculty of Dentistry, Universiti Sains Islam Malaysia, Kuala Lumpur 55100, Malaysia.', 'Fakultas Kedokteran Gigi, Faculty of Dental Medicine, Universitas Airlangga, Surabaya 60132, Indonesia.', 'Centre for Virus and Vaccine Research, Sunway University, Bandar Sunway 47500, Selangor, Malaysia.', 'Department of Biological Sciences, Sunway University, Bandar Sunway 47500, Selangor, Malaysia.', 'Department of Anatomy, Faculty of Medicine, Universiti Teknologi MARA, Sungai Buloh 47000, Selangor, Malaysia.']",['eng'],"['Journal Article', 'Review']",20210817,Switzerland,Molecules,"Molecules (Basel, Switzerland)",100964009,IM,"['Acetophenones/*pharmacology/therapeutic use', 'Animals', 'Cardiovascular Diseases/*drug therapy/metabolism/pathology/physiopathology', 'Humans']",2021/08/28 06:00,2021/09/07 06:00,['2021/08/27 01:16'],"['2021/07/15 00:00 [received]', '2021/08/11 00:00 [revised]', '2021/08/14 00:00 [accepted]', '2021/08/27 01:16 [entrez]', '2021/08/28 06:00 [pubmed]', '2021/09/07 06:00 [medline]']","['molecules26164976 [pii]', 'molecules-26-04976 [pii]', '10.3390/molecules26164976 [doi]']",epublish,Molecules. 2021 Aug 17;26(16):4976. doi: 10.3390/molecules26164976.,16,"Paeonol is a naturally existing bioactive compound found in the root bark of Paeonia suffruticosa and it is traditionally used in Chinese medicine for the prevention and management of cardiovascular diseases. To date, a great deal of studies has been reported on the pharmacological effects of paeonol and its mechanisms of action in various diseases and conditions. In this review, the underlying mechanism of action of paeonol in cardiovascular disease has been elucidated. Recent studies have revealed that paeonol treatment improved endothelium injury, demoted inflammation, ameliorated oxidative stress, suppressed vascular smooth muscle cell proliferation, and repressed platelet activation. Paeonol has been reported to effectively protect the cardiovascular system either employed alone or in combination with other traditional medicines, thus, signifying it could be a hypothetically alternative or complementary atherosclerosis treatment. This review summarizes the biological and pharmacological activities of paeonol in the treatment of cardiovascular diseases and its associated underlying mechanisms for a better insight for future clinical practices.","['ORCID: 0000-0003-0309-6573', 'ORCID: 0000-0001-5574-8049', 'ORCID: 0000-0002-8432-9035']",PMC8400614,"['We confirm that there are no conflict of interest associated with this', 'publication and there has been no significant financial support for this work', 'that could have influenced its outcome.']",['NOTNLM'],"['anti-apoptotic', 'anti-inflammatory', 'anti-oxidant', 'cardiovascular diseases', 'paeonol', 'vascular tone regulation']",['600-RMC/GPK 5/3 (269/2020)/Universiti Teknologi MARA/'],"['0 (Acetophenones)', '3R834EPI82 (paeonol)']",,,,,,,,,,,,,
29744009,NLM,MEDLINE,20190314,20200511,1947-6108 (Electronic) 1947-6094 (Print) 1947-6108 (Linking),13,2017 Oct-Dec,Cardiovascular Disease in Women.,183-184,10.14797/mdcj-13-4-183 [doi],"['Kurrelmeyer, Karla']",['Kurrelmeyer K'],"['HOUSTON METHODIST DEBAKEY HEART & VASCULAR CENTER, HOUSTON METHODIST HOSPITAL, HOUSTON, TEXAS.']",['eng'],"['Editorial', 'Introductory Journal Article']",,United States,Methodist Debakey Cardiovasc J,Methodist DeBakey cardiovascular journal,101508600,IM,"['Age Factors', '*Cardiovascular Diseases/diagnosis/epidemiology/physiopathology/therapy', 'Female', 'Health Status Disparities', 'Healthcare Disparities', 'Humans', 'Menopause', 'Pregnancy', 'Prognosis', 'Risk Factors', 'Sex Factors', ""*Women's Health""]",2018/05/11 06:00,2019/03/15 06:00,['2018/05/11 06:00'],"['2018/05/11 06:00 [entrez]', '2018/05/11 06:00 [pubmed]', '2019/03/15 06:00 [medline]']",['10.14797/mdcj-13-4-183 [doi]'],ppublish,Methodist Debakey Cardiovasc J. 2017 Oct-Dec;13(4):183-184. doi: 10.14797/mdcj-13-4-183.,4,,,PMC5935276,,,,,,,,,,,,,,,,,,
31781356,NLM,MEDLINE,20200420,20200420,1942-0994 (Electronic) 1942-0900 (Print) 1942-0994 (Linking),2019,2019,Oxidative Stress in Cell Death and Cardiovascular Diseases.,9030563,10.1155/2019/9030563 [doi] 9030563,"['Xu, Tao', 'Ding, Wei', 'Ji, Xiaoyu', 'Ao, Xiang', 'Liu, Ying', 'Yu, Wanpeng', 'Wang, Jianxun']","['Xu T', 'Ding W', 'Ji X', 'Ao X', 'Liu Y', 'Yu W', 'Wang J']","['School of Basic Medical Sciences, Qingdao University, Qingdao, China.', 'Center for Regenerative Medicine, Institute for Translational Medicine, College of Medicine, Qingdao University, Qingdao, China.', 'Department of Comprehensive Internal Medicine, Affiliated Hospital, Qingdao University, Qingdao, China.', 'School of Basic Medical Sciences, Qingdao University, Qingdao, China.', 'Center for Regenerative Medicine, Institute for Translational Medicine, College of Medicine, Qingdao University, Qingdao, China.', 'Center for Regenerative Medicine, Institute for Translational Medicine, College of Medicine, Qingdao University, Qingdao, China.', 'School of Basic Medical Sciences, Qingdao University, Qingdao, China.', 'School of Basic Medical Sciences, Qingdao University, Qingdao, China.', 'Center for Regenerative Medicine, Institute for Translational Medicine, College of Medicine, Qingdao University, Qingdao, China.']",['eng'],"['Journal Article', 'Review']",20191104,United States,Oxid Med Cell Longev,Oxidative medicine and cellular longevity,101479826,IM,"['Animals', 'Cardiovascular Diseases/*metabolism/pathology/*therapy', 'Humans', '*Oxidative Stress', 'Reactive Oxygen Species/*metabolism']",2019/11/30 06:00,2020/04/21 06:00,['2019/11/30 06:00'],"['2019/05/23 00:00 [received]', '2019/09/11 00:00 [accepted]', '2019/11/30 06:00 [entrez]', '2019/11/30 06:00 [pubmed]', '2020/04/21 06:00 [medline]']",['10.1155/2019/9030563 [doi]'],epublish,Oxid Med Cell Longev. 2019 Nov 4;2019:9030563. doi: 10.1155/2019/9030563. eCollection 2019.,,"ROS functions as a second messenger and modulates multiple signaling pathways under the physiological conditions. However, excessive intracellular ROS causes damage to the molecular components of the cell, which promotes the pathogenesis of various human diseases. Cardiovascular diseases are serious threats to human health with extremely high rates of morbidity and mortality. Dysregulation of cell death promotes the pathogenesis of cardiovascular diseases and is the clinical target during the disease treatment. Numerous studies show that ROS production is closely linked to the cell death process and promotes the occurrence and development of the cardiovascular diseases. In this review, we summarize the regulation of intracellular ROS, the roles of ROS played in the development of cardiovascular diseases, and the programmed cell death induced by intracellular ROS. We also focus on anti-ROS system and the potential application of anti-ROS strategy in the treatment of cardiovascular diseases.","['ORCID: 0000-0003-1698-5556', 'ORCID: 0000-0003-1699-9309', 'ORCID: 0000-0002-3731-6514']",PMC6875219,['The authors confirm that there are no conflicts of interest.'],,,,['0 (Reactive Oxygen Species)'],['Copyright (c) 2019 Tao Xu et al.'],,,,,,,,,,,,
25872853,NLM,MEDLINE,20170118,20170118,2047-9018 (Electronic) 0029-6570 (Linking),29,2015 Apr 15,Cardiovascular disease.,60,10.7748/ns.29.33.60.s44 [doi],"['Thiara, Balvinder']",['Thiara B'],"[""St Michael's Hospital, Warwick, England.""]",['eng'],['Journal Article'],,England,Nurs Stand,Nursing standard (Royal College of Nursing (Great Britain) : 1987),9012906,,"['Cardiovascular Diseases/complications/diet therapy/prevention & control/*therapy', 'Exercise', 'Feeding Behavior', 'Humans', 'Hypertension/complications', 'Obesity/complications', 'Smoking/adverse effects']",2015/04/16 06:00,2017/01/19 06:00,['2015/04/16 06:00'],"['2015/04/16 06:00 [entrez]', '2015/04/16 06:00 [pubmed]', '2017/01/19 06:00 [medline]']",['10.7748/ns.29.33.60.s44 [doi]'],ppublish,Nurs Stand. 2015 Apr 15;29(33):60. doi: 10.7748/ns.29.33.60.s44.,33,,,,,,,,,,,,,,,,,,,,,
19131035,NLM,MEDLINE,20090427,20090109,1094-9194 (Print) 1094-9194 (Linking),12,2009 Jan,Cardiovascular physiology and diseases of the rabbit.,"135-44, vii",10.1016/j.cvex.2008.08.004 [doi],"['Pariaut, Romain']",['Pariaut R'],"['Department of Clinical Sciences, School of Veterinary Medicine, Skip Bertman Drive, Louisiana State University, Baton Rouge, LA 70803, USA. rpariaut@vetmed.lsu.edu']",['eng'],"['Journal Article', 'Review']",,United States,Vet Clin North Am Exot Anim Pract,The veterinary clinics of North America. Exotic animal practice,9815628,IM,"['Animals', 'Cardiovascular Diseases/diagnosis/therapy/*veterinary', '*Cardiovascular Physiological Phenomena', '*Disease Models, Animal', 'Heart/*physiology', '*Rabbits/physiology']",2009/01/10 09:00,2009/04/28 09:00,['2009/01/10 09:00'],"['2009/01/10 09:00 [entrez]', '2009/01/10 09:00 [pubmed]', '2009/04/28 09:00 [medline]']","['S1094-9194(08)00057-1 [pii]', '10.1016/j.cvex.2008.08.004 [doi]']",ppublish,"Vet Clin North Am Exot Anim Pract. 2009 Jan;12(1):135-44, vii. doi: 10.1016/j.cvex.2008.08.004.",1,"This article reviews what is known about the diagnosis and management of cardiovascular diseases in the pet rabbit. Current knowledge is based on anecdotal reports, derived from research data using the rabbit as an animal model of human cardiovascular diseases, but most importantly canine and feline cardiology. It is likely that, as cardiovascular diseases are more often recognized, more specific information will soon become available for the treatment of the pet rabbit with cardiac disease.",,,,,,,,,27,,,,,,,,,,,
27075419,NLM,MEDLINE,20171127,20220321,1473-6535 (Electronic) 0957-9672 (Print) 0957-9672 (Linking),27,2016 Aug,Effects of melatonin on cardiovascular diseases: progress in the past year.,408-13,10.1097/MOL.0000000000000314 [doi],"['Sun, Hang', 'Gusdon, Aaron M', 'Qu, Shen']","['Sun H', 'Gusdon AM', 'Qu S']","[""aDepartment of Endocrinology and Metabolism, Shanghai Tenth People's Hospital, School of Medicine, Tongji University, Shanghai, China bDepartment of Pathology, Division of Neuropathology, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania; Department of Neurology, Weill Cornell Medical College, New York, USA.""]",['eng'],"['Journal Article', 'Review']",,England,Curr Opin Lipidol,Current opinion in lipidology,9010000,IM,"['Animals', 'Cardiovascular Diseases/complications/*drug therapy/metabolism/pathology', 'Cell Hypoxia/drug effects', 'Humans', 'Lipid Metabolism/drug effects', 'Melatonin/*pharmacology/therapeutic use']",2016/04/15 06:00,2017/11/29 06:00,['2016/04/15 06:00'],"['2016/04/15 06:00 [entrez]', '2016/04/15 06:00 [pubmed]', '2017/11/29 06:00 [medline]']",['10.1097/MOL.0000000000000314 [doi]'],ppublish,Curr Opin Lipidol. 2016 Aug;27(4):408-13. doi: 10.1097/MOL.0000000000000314.,4,"PURPOSE OF REVIEW: Melatonin is a neuroendocrine hormone synthesized primarily by the pineal gland. Numerous studies have suggested that melatonin plays an important role in various cardiovascular diseases. In this article, recent progress regarding melatonin's effects on cardiovascular diseases is reviewed. RECENT FINDINGS: In the past year, studies have focused on the mechanism of protection of melatonin on cardiovascular diseases, including myocardial ischemia-reperfusion injury, myocardial hypoxia-reoxygenation injury, pulmonary hypertension, hypertension, atherosclerosis, valvular heart diseases, and other cardiovascular diseases. SUMMARY: Studies have demonstrated that melatonin has significant effects on ischemia-reperfusion injury, myocardial chronic intermittent hypoxia injury, pulmonary hypertension, hypertension, valvular heart diseases, vascular diseases, and lipid metabolism. As an inexpensive and well tolerated drug, melatonin may be a new therapeutic option for cardiovascular disease.",,PMC4947538,,,,,['JL5DK93RCL (Melatonin)'],,,,,,,,,,,,,
