PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AUID,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,COIS,RF,TT,OID,CIN,CON,CN,FIR,IR,SI,EIN,MID,PMCR
35771962,NLM,MEDLINE,20220929,20230702,1945-7197 (Electronic) 0021-972X (Print) 0021-972X (Linking),107,10,2022 Sep 28,Diagnosis and Management of Central Diabetes Insipidus in Adults.,2701-2715,10.1210/clinem/dgac381 [doi],"Central diabetes insipidus (CDI) is a clinical syndrome which results from loss or impaired function of vasopressinergic neurons in the hypothalamus/posterior pituitary, resulting in impaired synthesis and/or secretion of arginine vasopressin (AVP). AVP deficiency leads to the inability to concentrate urine and excessive renal water losses, resulting in a clinical syndrome of hypotonic polyuria with compensatory thirst. CDI is caused by diverse etiologies, although it typically develops due to neoplastic, traumatic, or autoimmune destruction of AVP-synthesizing/secreting neurons. This review focuses on the diagnosis and management of CDI, providing insights into the physiological disturbances underpinning the syndrome. Recent developments in diagnostic techniques, particularly the development of the copeptin assay, have improved accuracy and acceptability of the diagnostic approach to the hypotonic polyuria syndrome. We discuss the management of CDI with particular emphasis on management of fluid intake and pharmacological replacement of AVP. Specific clinical syndromes such as adipsic diabetes insipidus and diabetes insipidus in pregnancy as well as management of the perioperative patient with diabetes insipidus are also discussed.","['(c) The Author(s) 2022. Published by Oxford University Press on behalf of the', 'Endocrine Society. All rights reserved. For permissions, please e-mail:', 'journals.permissions@oup.com.']","['Tomkins, Maria', 'Lawless, Sarah', 'Martin-Grace, Julie', 'Sherlock, Mark', 'Thompson, Chris J']","['Tomkins M', 'Lawless S', 'Martin-Grace J', 'Sherlock M', 'Thompson CJ']","['ORCID: 0000-0003-2562-5210', 'ORCID: 0000-0003-4078-624X', 'ORCID: 0000-0003-3688-8999']","['Academic Department of Endocrinology, Beaumont Hospital and Royal College of Surgeons in Ireland, Dublin, Ireland.', 'Academic Department of Endocrinology, Beaumont Hospital and Royal College of Surgeons in Ireland, Dublin, Ireland.', 'Academic Department of Endocrinology, Beaumont Hospital and Royal College of Surgeons in Ireland, Dublin, Ireland.', 'Academic Department of Endocrinology, Beaumont Hospital and Royal College of Surgeons in Ireland, Dublin, Ireland.', 'Academic Department of Endocrinology, Beaumont Hospital and Royal College of Surgeons in Ireland, Dublin, Ireland.']",['eng'],"['WT_/Wellcome Trust/United Kingdom', '203930/B/16/Z/WT_/Wellcome Trust/United Kingdom']","['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism,0375362,['113-79-1 (Arginine Vasopressin)'],IM,"['Adult', 'Arginine Vasopressin', '*Diabetes Insipidus/diagnosis/etiology/therapy', '*Diabetes Insipidus, Neurogenic/diagnosis/etiology/therapy', '*Diabetes Mellitus', 'Humans', 'Polyuria/diagnosis/etiology/therapy', 'Syndrome']",PMC9516129,['NOTNLM'],"['adipsia', 'dDAVP', 'diabetes insipidus', 'hypernatremia', 'hyponatremia']",2022/07/01 06:00,2022/09/30 06:00,['2022/06/30 14:22'],"['2022/02/28 00:00 [received]', '2022/07/01 06:00 [pubmed]', '2022/09/30 06:00 [medline]', '2022/06/30 14:22 [entrez]']","['6623615 [pii]', 'dgac381 [pii]', '10.1210/clinem/dgac381 [doi]']",ppublish,J Clin Endocrinol Metab. 2022 Sep 28;107(10):2701-2715. doi: 10.1210/clinem/dgac381.,,,,,,,,,,,,,,
32741486,NLM,MEDLINE,20210618,20210618,1558-4410 (Electronic) 0889-8529 (Linking),49,3,2020 Sep,Diabetes Insipidus: An Update.,517-531,S0889-8529(20)30039-6 [pii] 10.1016/j.ecl.2020.05.012 [doi],"The differential diagnosis of diabetes insipidus involves the distinction between central or nephrogenic diabetes insipidus and primary polydipsia. Differentiation is important because treatment strategies vary; the wrong treatment can be dangerous. Reliable differentiation is difficult especially in patients with primary polydipsia or partial forms of diabetes insipidus. New diagnostic algorithms are based on the measurement of copeptin after osmotic stimulation by hypertonic saline infusion or after nonosmotic stimulation by arginine and have a higher diagnostic accuracy than the water deprivation test. Treatment involves correcting preexisting water deficits, but is different for central diabetes insipidus, nephrogenic diabetes insipidus, and primary polydipsia.",['Copyright (c) 2020 Elsevier Inc. All rights reserved.'],"['Refardt, Julie', 'Winzeler, Bettina', 'Christ-Crain, Mirjam']","['Refardt J', 'Winzeler B', 'Christ-Crain M']",,"['Division of Endocrinology, Diabetes and Metabolism, Department of Clinical Research, University Hospital Basel, University of Basel, Basel, Switzerland; Department of Endocrinology, University Hospital Basel, University of Basel, Petersgraben 4, Basel 4031, Switzerland.', 'Division of Endocrinology, Diabetes and Metabolism, Department of Clinical Research, University Hospital Basel, University of Basel, Basel, Switzerland; Department of Endocrinology, University Hospital Basel, University of Basel, Petersgraben 4, Basel 4031, Switzerland.', 'Division of Endocrinology, Diabetes and Metabolism, Department of Clinical Research, University Hospital Basel, University of Basel, Basel, Switzerland; Department of Endocrinology, University Hospital Basel, University of Basel, Petersgraben 4, Basel 4031, Switzerland. Electronic address: mirjam.christ@usb.ch.']",['eng'],,"['Journal Article', 'Review']",United States,Endocrinol Metab Clin North Am,Endocrinology and metabolism clinics of North America,8800104,['Dipsogenic Diabetes Insipidus'],IM,"['Diabetes Insipidus/*diagnosis/etiology', 'Diabetes Insipidus, Nephrogenic/diagnosis', 'Diabetes Mellitus/diagnosis', 'Diagnosis, Differential', '*Diagnostic Techniques, Endocrine/standards/trends', 'Humans', 'Syndrome']",,['NOTNLM'],"['Diabetes insipidus', 'Polyuria polydipsia syndrome', 'Primary polydipsia']",2020/08/04 06:00,2021/06/22 06:00,['2020/08/04 06:00'],"['2020/08/04 06:00 [entrez]', '2020/08/04 06:00 [pubmed]', '2021/06/22 06:00 [medline]']","['S0889-8529(20)30039-6 [pii]', '10.1016/j.ecl.2020.05.012 [doi]']",ppublish,Endocrinol Metab Clin North Am. 2020 Sep;49(3):517-531. doi: 10.1016/j.ecl.2020.05.012. Epub 2020 Jul 15.,20200715,"['Competing interests M. Christ-Crain received speaking honoraria from Thermo', 'Fisher AG, the manufacturer of the copeptin assay.']",,,,,,,,,,,,
35146976,NLM,MEDLINE,20220401,20220401,2191-0251 (Electronic) 0334-018X (Linking),35,4,2022 Apr 26,Nephrogenic diabetes insipidus: a comprehensive overview.,421-434,10.1515/jpem-2021-0566 [doi],"Nephrogenic diabetes insipidus (NDI) is characterized by the inability to concentrate urine that results in polyuria and polydipsia, despite having normal or elevated plasma concentrations of arginine vasopressin (AVP). In this study, we review the clinical aspects and diagnosis of NDI, the various etiologies, current treatment options and potential future developments. NDI has different clinical manifestations and approaches according to the etiology. Hereditary forms of NDI are mainly caused by mutations in the genes that encode key proteins in the AVP signaling pathway, while acquired causes are normally associated with specific drug exposure, especially lithium, and hydroelectrolytic disorders. Clinical manifestations of the disease vary according to the degree of dehydration and hyperosmolality, being worse when renal water losses cannot be properly compensated by fluid intake. Regarding the diagnosis of NDI, it is important to consider the symptoms of the patient and the diagnostic tests, including the water deprivation test and the baseline plasma copeptin measurement, a stable surrogate biomarker of AVP release. Without proper treatment, patients may developcomplications leading to high morbidity and mortality, such as severe dehydration and hypernatremia. In that sense, the treatment of NDI consists in decreasing the urine output, while allowing appropriate fluid balance, normonatremia, and ensuring an acceptable quality of life. Therefore, therapeutic options include nonpharmacological interventions, including sufficient water intake and a low-sodium diet, and pharmacological treatment. The main medications used for NDI are thiazide diuretics, nonsteroidal anti-inflammatory drugs (NSAIDs), and amiloride, used isolated or in combination.","['(c) 2022 Walter de Gruyter GmbH, Berlin/Boston.']","['Vaz de Castro, Pedro Alves Soares', 'Bitencourt, Leticia', 'de Oliveira Campos, Juliana Lacerda', 'Fischer, Bruna Luisa', 'Soares de Brito, Stephanie Bruna Camilo', 'Soares, Beatriz Santana', 'Drummond, Juliana Beaudette', 'Simoes E Silva, Ana Cristina']","['Vaz de Castro PAS', 'Bitencourt L', 'de Oliveira Campos JL', 'Fischer BL', 'Soares de Brito SBC', 'Soares BS', 'Drummond JB', 'Simoes E Silva AC']",['ORCID: 0000-0001-9222-3882'],"['Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.', 'Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.', 'Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.', 'Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.', 'Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.', 'Division of Endocrinology, Department of Internal Medicine, Faculty of Medicine, UFMG, Belo Horizonte, Brazil.', 'Division of Endocrinology, Department of Internal Medicine, Faculty of Medicine, UFMG, Belo Horizonte, Brazil.', 'Interdisciplinary Laboratory of Medical Investigation, Unit of Pediatric Nephrology, Faculty of Medicine, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil.']",['eng'],,"['Journal Article', 'Review']",Germany,J Pediatr Endocrinol Metab,Journal of pediatric endocrinology & metabolism : JPEM,9508900,['113-79-1 (Arginine Vasopressin)'],IM,"['Arginine Vasopressin/genetics', '*Diabetes Insipidus', '*Diabetes Insipidus, Nephrogenic/diagnosis/etiology/therapy', '*Diabetes Mellitus', 'Humans', 'Mutation', 'Polyuria/diagnosis', 'Quality of Life']",,['NOTNLM'],"['arginine vasopressin', 'copeptin', 'diuretics', 'nephrogenic diabetes insipidus', 'polyuria-polydipsia syndrome', 'water deprivation test']",2022/02/12 06:00,2022/04/02 06:00,['2022/02/11 05:49'],"['2021/08/31 00:00 [received]', '2022/01/26 00:00 [accepted]', '2022/02/12 06:00 [pubmed]', '2022/04/02 06:00 [medline]', '2022/02/11 05:49 [entrez]']","['jpem-2021-0566 [pii]', '10.1515/jpem-2021-0566 [doi]']",epublish,J Pediatr Endocrinol Metab. 2022 Feb 11;35(4):421-434. doi: 10.1515/jpem-2021-0566. Print 2022 Apr 26.,20220211,,,,,,,,,,,,,
34238462,NLM,MEDLINE,20210728,20210728,0072-9752 (Print) 0072-9752 (Linking),181,,2021,Adipsic diabetes insipidus.,261-273,B978-0-12-820683-6.00019-1 [pii] 10.1016/B978-0-12-820683-6.00019-1 [doi],"Adipsic diabetes insipidus (ADI) is a rare but devastating disorder of water balance with significant associated morbidity and mortality. Most patients develop the disease as a result of hypothalamic destruction from a variety of underlying etiologies. Damage to osmolar-responsive neuroreceptors, primarily within the supraoptic and paraventricular nuclei, results in impaired production and release of arginine vasopressin (AVP). Important regulating circuits of thirst sense and drive are regionally colocalized with AVP centers and therefore are also injured. Patients with central diabetes insipidus with impaired thirst response, defined as ADI, suffer from wide swings of plasma osmolality resulting in repeated hospitalization, numerous associated comorbidities, and significant mortality. Treatment recommendations are based largely on expert advice from case series owing to the rarity of disease prevalence. Acute disease management focuses on fixed dosing of antidiuretic hormone analogues and calculated prescriptions of obligate daily water intake. Long-term care requires patient/family education, frequent reassessment of clinical and biochemical parameters, as well as screening and treatment of comorbidities.",['Copyright (c) 2021 Elsevier B.V. All rights reserved.'],"['Kothari, Vallari', 'Cardona, Zulma', 'Eisenberg, Yuval']","['Kothari V', 'Cardona Z', 'Eisenberg Y']",,"['Division of Endocrinology, Diabetes, and Metabolism, Department of Medicine, University of Illinois at Chicago, Chicago, IL, United States.', 'Division of Endocrinology, Diabetes, and Metabolism, Department of Medicine, University of Illinois at Chicago, Chicago, IL, United States.', 'Division of Endocrinology, Diabetes, and Metabolism, Department of Medicine, University of Illinois at Chicago, Chicago, IL, United States.']",['eng'],,"['Journal Article', 'Review']",Netherlands,Handb Clin Neurol,Handbook of clinical neurology,0166161,['113-79-1 (Arginine Vasopressin)'],IM,"['Arginine Vasopressin', '*Diabetes Insipidus/diagnosis/epidemiology/therapy', '*Diabetes Insipidus, Neurogenic', '*Diabetes Mellitus', 'Humans', 'Thirst', 'Water-Electrolyte Balance']",,['NOTNLM'],"['Adipsia', 'Diabetes insipidus', 'Hypothalamus', 'Thirst', 'Water balance']",2021/07/10 06:00,2021/07/29 06:00,['2021/07/09 05:51'],"['2021/07/09 05:51 [entrez]', '2021/07/10 06:00 [pubmed]', '2021/07/29 06:00 [medline]']","['B978-0-12-820683-6.00019-1 [pii]', '10.1016/B978-0-12-820683-6.00019-1 [doi]']",ppublish,Handb Clin Neurol. 2021;181:261-273. doi: 10.1016/B978-0-12-820683-6.00019-1.,,,,,,,,,,,,,,
26913870,NLM,MEDLINE,20161104,20161230,1724-5990 (Electronic) 0393-5590 (Linking),33 Suppl 66,,2016 Feb,History of Diabetes Insipidus.,33.S66.1,,"Under physiological conditions, fluid and electrolyte homoeostasis is maintained by the kidney adjusting urine volume and composition according to body needs. Diabetes Insipidus is a complex and heterogeneous clinical syndrome affecting water balance and characterized by constant diuresis, resulting in large volumes of dilute urine. With respect to the similarly named Diabetes Mellitus, a disease already known in ancient Egypt, Greece and Asia, Diabetes Insipidus has been described several thousand years later. In 1670s Thomas Willis, noted the difference in taste of urine from polyuric subjects compared with healthy individuals and started the differentiation of Diabetes Mellitus from the more rare entity of Diabetes Insipidus. In 1794, Johann Peter Frank described polyuric patients excreting nonsaccharine urine and introduced the term of Diabetes Insipidus. An hystorical milestone was the in 1913, when Farini successfully used posterior pituitary extracts to treat Diabetes Insipidus. Until 1920s the available evidence indicated Diabetes Insipidus as a disorder of the pituitary gland. In the early 1928, De Lange first observed that some patients with Diabetes Insipidus did not respond to posterior pituitary extracts and subsequently Forssman and Waring in 1945 established that the kidney had a critical role for these forms of Diabetes Insipidus resistant to this treatment. In 1947 Williams and Henry introduced the term Nephrogenic Diabetes Insipidus for the congenital syndrome characterized by polyuria and renal concentrating defect resistant to vasopressin. In 1955, du Vigneaud received the 1955 Nobel Prize in chemistry for the first synthesis of the hormone vasopressin representing a milestone for the treatment of Central Diabetes Insipidus.",,"['Valenti, Giovanna', 'Tamma, Grazia']","['Valenti G', 'Tamma G']",,,['eng'],,"['Historical Article', 'Journal Article']",Italy,G Ital Nefrol,Giornale italiano di nefrologia : organo ufficiale della Societa italiana di nefrologia,9426434,,IM,"['Diabetes Insipidus/*history', 'History, 19th Century', 'History, 20th Century', 'Humans']",,,,2016/02/26 06:00,2016/11/05 06:00,['2016/02/26 06:00'],"['2016/02/26 06:00 [entrez]', '2016/02/26 06:00 [pubmed]', '2016/11/05 06:00 [medline]']",['gin/00232.1 [pii]'],ppublish,G Ital Nefrol. 2016 Feb;33 Suppl 66:33.S66.1.,,,,,,,,,,,,,,
20500966,NLM,MEDLINE,20100722,20191111,1701-2163 (Print) 1701-2163 (Linking),32,3,2010 Mar,Gestational diabetes insipidus: a review of an underdiagnosed condition.,225-31,,"OBJECTIVE: To review the etiology, diagnosis, and management of diabetes insipidus during pregnancy. DATA SOURCES: A search of the literature was performed in PubMed using key word searching and citation snowballing to identify articles published in English between January 1, 1980, and December 31, 2008, on the subject of diabetes insipidus during pregnancy. Once the articles were identified, a thorough review of all results was conducted. Results and conclusions were compiled and summarized. STUDY SELECTION: We reviewed 50 studies selected using the following key words: diabetes insipidus, pregnancy, arginine vasopressin, vasopressinase. CONCLUSION: Gestational diabetes insipidus is underdiagnosed because polyuria is often considered normal during pregnancy. Clinicians caring for pregnant women should consider screening for gestational diabetes insipidus, because it could be associated with serious underlying pathology.",,"['Aleksandrov, Nikolay', 'Audibert, Francois', 'Bedard, Marie-Josee', 'Mahone, Michele', 'Goffinet, Francois', 'Kadoch, Isaac-Jacques']","['Aleksandrov N', 'Audibert F', 'Bedard MJ', 'Mahone M', 'Goffinet F', 'Kadoch IJ']",,"['Department of Obstetrics and Gynecology, University of Montreal, Montreal QC.']",['eng'],,"['Journal Article', 'Review']",Netherlands,J Obstet Gynaecol Can,Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC,101126664,"['0 (Antidiuretic Agents)', '0 (Diuretics)', '0J48LPH2TH (Hydrochlorothiazide)', '11000-17-2 (Vasopressins)', 'ENR1LLB0FP (Deamino Arginine Vasopressin)']",IM,"['Antidiuretic Agents/therapeutic use', 'Body Water/metabolism', 'Deamino Arginine Vasopressin/therapeutic use', 'Diabetes Insipidus/classification/*diagnosis/etiology/therapy', 'Diabetes, Gestational/classification/*diagnosis/etiology/therapy', 'Diuretics/therapeutic use', 'Female', 'Humans', 'Hydrochlorothiazide/therapeutic use', 'Magnetic Resonance Imaging', 'Pituitary Gland, Posterior/anatomy & histology', 'Pregnancy', 'Puerperal Disorders/diagnosis/etiology/therapy', 'Ultrasonography, Prenatal', 'Vasopressins/metabolism']",,,,2010/05/27 06:00,2010/07/23 06:00,['2010/05/27 06:00'],"['2010/05/27 06:00 [entrez]', '2010/05/27 06:00 [pubmed]', '2010/07/23 06:00 [medline]']","['S1701-2163(16)34448-6 [pii]', '10.1016/s1701-2163(16)34448-6 [doi]']",ppublish,J Obstet Gynaecol Can. 2010 Mar;32(3):225-31. doi: 10.1016/s1701-2163(16)34448-6.,,,50,,,,,,,,,,,
25330715,NLM,MEDLINE,20151001,20220330,1399-5448 (Electronic) 1399-543X (Linking),16,1,2015 Feb,"The spectrum of clinical presentation, diagnosis, and management of mitochondrial forms of diabetes.",1-9,10.1111/pedi.12223 [doi],Primary mitochondrial diseases refer to a group of heterogeneous and complex genetic disorders affecting 1:5000 people. The true prevalence is anticipated to be even higher because of the complexity of achieving a diagnosis in many patients who present with multisystemic complaints ranging from infancy to adulthood. Diabetes is a prominent feature of several of these disorders which might be overlooked by the endocrinologist. We here review mitochondrial disorders and describe the phenotypic and pathogenetic differences between mitochondrial diabetes mellitus (mDM) and other more common forms of diabetes mellitus.,['(c) 2014 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.'],"['Karaa, Amel', 'Goldstein, Amy']","['Karaa A', 'Goldstein A']",,"['Neurogenetics Clinic, Neurology and Clinical Genetics, Massachusetts General Hospital, Harvard Medical School, Boston, MA, USA.']",['eng'],,"['Journal Article', 'Review']",Denmark,Pediatr Diabetes,Pediatric diabetes,100939345,"['0 (DNA, Mitochondrial)', '0 (RNA, Transfer, Leu)', 'Wolfram Syndrome, Mitochondrial Form']",IM,"['DNA Copy Number Variations', 'DNA, Mitochondrial/genetics', 'Diabetes Insipidus/complications/genetics', 'Diabetes Mellitus/classification/*diagnosis/*etiology/genetics/*therapy', 'Diagnosis, Differential', 'Hearing Loss, Sensorineural/complications/genetics', 'Humans', 'Kearns-Sayre Syndrome/complications/genetics', 'Mitochondrial Diseases/*complications/*diagnosis/genetics/*therapy', 'Mutation', 'Optic Atrophies, Hereditary/complications/genetics', 'RNA, Transfer, Leu/genetics']",,['NOTNLM'],"['Kearns Sayre syndrome', 'MELAS', 'diabetes', 'mitochondria', 'mtDNA']",2014/10/22 06:00,2015/10/02 06:00,['2014/10/22 06:00'],"['2014/06/24 00:00 [received]', '2014/09/03 00:00 [revised]', '2014/09/09 00:00 [accepted]', '2014/10/22 06:00 [entrez]', '2014/10/22 06:00 [pubmed]', '2015/10/02 06:00 [medline]']",['10.1111/pedi.12223 [doi]'],ppublish,Pediatr Diabetes. 2015 Feb;16(1):1-9. doi: 10.1111/pedi.12223. Epub 2014 Oct 20.,20141020,,,,,,,,,,,,,
29659364,NLM,MEDLINE,20190205,20190215,0025-7680 (Print) 0025-7680 (Linking),78,2,2018,[Association between central diabetes insipidus and type 2 diabetes mellitus].,127-130,,"Central diabetes insipidus is a rare disease of the hypothalamus and neurohypophysis. It is very unusually found in the adult with type 2 diabetes mellitus. It is manifested by a polydipsic polyuric syndrome, which must be distinguished from the poorly controlled type 2 diabetes mellitus. Given the similarity of both entities and the unusual nature of their coexistence, their suspicion is difficult. The case of a 72-year-old male with type 2 diabetes mellitus with poor insulin control (fasting hyperglycemia greater than 180 mg/dl) who had a long-standing polyuric syndrome is here presented. Hypernatremia and plasma osmolality elevated together with a low urinary osmolality led to the suspicion of diabetes insipidus, which was subsequently confirmed by the dehydration test and the administration of desmopressin sc. With 61% increase in the calculated urinary osmolarity one hour post desmopressin s.c., diabetes insipidus of central type was diagnosed. Nuclear Magnetic Resonance showed a bright spot with normal neurohypophysis, contributing to the diagnosis of the idiopathic form.",,"['Palumbo, Claudia', 'Nicolaci, Nora', 'La Manna, Andres A', 'Branek, Natalia', 'Pissano, Maria N']","['Palumbo C', 'Nicolaci N', 'La Manna AA', 'Branek N', 'Pissano MN']",,"['Servicio de Nefrologia, Clinica Ciudad de la Vida, Buenos Aires, Argentina. E-mail: clapalumbo@intramed.net.', 'Servicio de Neurologia, Clinica Ciudad de la Vida, Buenos Aires, Argentina.', 'Servicio de Terapia Intermedia, Clinica Ciudad de la Vida, Buenos Aires, Argentina.', 'Servicio de Laboratorio, Clinica Ciudad de la Vida, Buenos Aires, Argentina.', 'Servicio de Nefrologia, Clinica Ciudad de la Vida, Buenos Aires, Argentina.']",['spa'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Argentina,Medicina (B Aires),Medicina,0204271,['K2I13DR72L (Gadolinium DTPA)'],IM,"['Aged', 'Diabetes Insipidus, Neurogenic/blood/*complications/*diagnosis/urine', 'Diabetes Mellitus, Type 2/blood/*complications/*diagnosis/urine', '*Diagnosis, Differential', 'Gadolinium DTPA', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Osmolar Concentration', 'Pituitary Gland, Posterior']",,['NOTNLM'],"['central diabetes insipidus', 'elderly adult', 'type 2 diabetes mellitus']",2018/04/17 06:00,2019/02/06 06:00,['2018/04/17 06:00'],"['2018/04/17 06:00 [entrez]', '2018/04/17 06:00 [pubmed]', '2019/02/06 06:00 [medline]']",,ppublish,Medicina (B Aires). 2018;78(2):127-130.,,,,Asociacion de diabetes insipida central y diabetes mellitus tipo 2.,,,,,,,,,,
34238458,NLM,MEDLINE,20210728,20210728,0072-9752 (Print) 0072-9752 (Linking),181,,2021,Autoimmune diabetes insipidus.,193-204,B978-0-12-820683-6.00015-4 [pii] 10.1016/B978-0-12-820683-6.00015-4 [doi],"Once central diabetes insipidus (CDI) has been diagnosed, every effort should be made to reveal its underlying cause. Autoimmune CDI should be considered in the differential diagnosis of idiopathic CDI and also of mass lesions of the sella region. An autoimmune etiology of CDI was first suggested in 1983 by the detection of autoantibodies to hypothalamic vasopressin-producing cells (AVPcAb) in adults and also in children with the disease, using the indirect immunofluorescence test. The major autoantigen for autoimmune CDI has now been recognized as rabphilin-3A, a protein of secretory vesicles of the neurohypophyseal system. The detection of autoantibodies to rabphilin-3A by Western blotting or of AVPcAb provides strong evidence for the diagnosis of autoimmune CDI. Autoimmune CDI is recognized mostly in patients who had also been diagnosed with endocrine autoimmune disorders. The radiological and morphological correlate with autoimmune DI is lymphocytic infundibuloneurohypophysitis (LINH) as detected by magnetic resonance imaging and biopsies that show massive infiltration of the posterior pituitary and the infundibulum with lymphocytes and some plasma cells, and fibrosis in the later stages of the disease. LINH may be associated with lymphocytic anterior hypophysitis. Both may either appear spontaneously or on treatment with immune checkpoint inhibitors.",['Copyright (c) 2021 Elsevier B.V. All rights reserved.'],"['Scherbaum, Werner A']",['Scherbaum WA'],,"['Department of Endocrinology, Heinrich-Heine-University, Duesseldorf, Germany. Electronic address: scherbaum@uni-duesseldorf.de.']",['eng'],,"['Journal Article', 'Review']",Netherlands,Handb Clin Neurol,Handbook of clinical neurology,0166161,,IM,"['Adult', '*Autoimmune Diseases', '*Autoimmune Hypophysitis/diagnosis', 'Child', '*Diabetes Insipidus', '*Diabetes Insipidus, Neurogenic/diagnosis/etiology', '*Diabetes Mellitus, Type 1', 'Humans', 'Magnetic Resonance Imaging', '*Pituitary Gland, Posterior']",,['NOTNLM'],"['Autoantibodies', 'Central diabetes insipidus', 'Immune checkpoint inhibitors', 'Lymphocytic infundibuloneurohypophysitis', 'Rabphilin-3A', 'Vasopressin']",2021/07/10 06:00,2021/07/29 06:00,['2021/07/09 05:51'],"['2021/07/09 05:51 [entrez]', '2021/07/10 06:00 [pubmed]', '2021/07/29 06:00 [medline]']","['B978-0-12-820683-6.00015-4 [pii]', '10.1016/B978-0-12-820683-6.00015-4 [doi]']",ppublish,Handb Clin Neurol. 2021;181:193-204. doi: 10.1016/B978-0-12-820683-6.00015-4.,,,,,,,,,,,,,,
18935020,NLM,MEDLINE,20081020,20181201,0035-9157 (Print) 0035-9157 (Linking),41,6,1948 Jun,Diabetes insipidus.,352,,,,"['TIZARD, J P M']",['TIZARD JP'],,,['eng'],,['Journal Article'],England,Proc R Soc Med,Proceedings of the Royal Society of Medicine,7505890,,OM,"['*Diabetes Insipidus', '*Diabetes Insipidus, Neurogenic', '*Diabetes Mellitus', 'Humans']",PMC2184552,['NLM'],['*DIABETES/insipidus'],1948/06/01 00:00,2008/11/01 09:00,['1948/06/01 00:00'],"['1948/06/01 00:00 [pubmed]', '2008/11/01 09:00 [medline]', '1948/06/01 00:00 [entrez]']",,ppublish,Proc R Soc Med. 1948 Jun;41(6):352.,,,,,['CLML: 4815:369f'],,,,,,,,,
