PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,COIS,AUID,RN,EIN,CIN,RF,GR,CON,TT,MID,CN,OID,FIR,IR,GN,PS,FPS
31027668,NLM,MEDLINE,20191121,20230302,1558-1357 (Electronic) 0029-6465 (Print) 0029-6465 (Linking),54,2,2019 Jun,Emerging Infectious Diseases.,297-311,S0029-6465(19)30006-4 [pii] 10.1016/j.cnur.2019.02.006 [doi],"Emerging infectious diseases (EID) and reemerging infectious diseases are increasing globally. Zoonotic diseases are transmitted from animals to humans through direct contact or through food, water, and the environment. Vector-borne diseases are major sources of mortality and morbidity globally. Three mosquito-borne viruses are yellow fever, chikungunya virus, and dengue virus. Recent EIDs include Candida auris, Elizabethkingia anopheles, The Lone Star tick, and avian influenza H7N2. In addition, mcr-1 may contribute to the dissemination of drug resistance to gram-negative bacteria. Nurses play a major role in the identification and prevention of EID within health care settings.",['Copyright (c) 2019 Elsevier Inc. All rights reserved.'],"['McArthur, Donna Behler']",['McArthur DB'],"['University of Arizona College of Nursing and Department of Neurology, College of Medicine, 1305 North Martin Avenue, Tucson, AZ 85721, USA; Vanderbilt University School of Nursing, 461 21st Avenue South, Nashville, TN 37240, USA. Electronic address: dbmcarth@email.arizona.edu.']",['eng'],"['Journal Article', 'Review']",20190327,United States,Nurs Clin North Am,The Nursing clinics of North America,0042033,IM,"['Adult', 'Animals', 'Communicable Diseases/diagnosis/*epidemiology/*nursing', 'Communicable Diseases, Emerging/*diagnosis/*epidemiology/*nursing', 'Female', 'Humans', 'Male', 'Middle Aged', ""Nurse's Role"", 'Zoonoses/diagnosis/*epidemiology/*nursing']",PMC7096727,['NOTNLM'],"['Avian influenza', 'Candida auris', 'Elizabethkingia anopheles', 'Emerging infections', 'Vector-borne diseases', 'Zoonotic diseases', 'mcr-1']",2019/04/28 06:00,2019/11/22 06:00,['2019/04/28 06:00'],"['2019/04/28 06:00 [entrez]', '2019/04/28 06:00 [pubmed]', '2019/11/22 06:00 [medline]']","['S0029-6465(19)30006-4 [pii]', '10.1016/j.cnur.2019.02.006 [doi]']",ppublish,Nurs Clin North Am. 2019 Jun;54(2):297-311. doi: 10.1016/j.cnur.2019.02.006. Epub 2019 Mar 27.,,,,,,,,,,,,,,,,,
27598145,NLM,MEDLINE,20170323,20181113,1422-0067 (Electronic) 1422-0067 (Linking),17,9,2016 Sep 2,"Infectious Diseases: Pathophysiology, Diagnostics and Prevention.",,10.3390/ijms17091464 [doi] 1464,Infectious diseases occur very frequently in children and adults. Novel diagnostic methods have permitted us to expand our knowledge on their epidemiology and pathophysiology [1].[...].,,"['Esposito, Susanna']",['Esposito S'],"[""Pediatric Highly Intensive Care Unit, Department of Pathophysiology and Transplantation, Universita degli Studi di Milano, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, 20122 Milan, Italy. susanna.esposito@unimi.it.""]",['eng'],"['Editorial', 'Introductory Journal Article']",20160902,Switzerland,Int J Mol Sci,International journal of molecular sciences,101092791,IM,"['Communicable Disease Control/*methods', 'Communicable Diseases/diagnosis/*etiology/therapy', 'Humans']",PMC5037742,,,2016/09/07 06:00,2017/03/24 06:00,['2016/09/07 06:00'],"['2016/07/26 00:00 [received]', '2016/08/29 00:00 [revised]', '2016/08/29 00:00 [accepted]', '2016/09/07 06:00 [entrez]', '2016/09/07 06:00 [pubmed]', '2017/03/24 06:00 [medline]']","['ijms17091464 [pii]', 'ijms-17-01464 [pii]', '10.3390/ijms17091464 [doi]']",epublish,Int J Mol Sci. 2016 Sep 2;17(9):1464. doi: 10.3390/ijms17091464.,['The author declares no conflict of interest.'],,,,,,,,,,,,,,,,
28286767,NLM,MEDLINE,20170317,20220316,2314-6141 (Electronic) 2314-6133 (Print),2017,,2017,"Emerging and Neglected Infectious Diseases: Insights, Advances, and Challenges.",5245021,10.1155/2017/5245021 [doi] 5245021,"Infectious diseases are a significant burden on public health and economic stability of societies all over the world. They have for centuries been among the leading causes of death and disability and presented growing challenges to health security and human progress. The threat posed by infectious diseases is further deepened by the continued emergence of new, unrecognized, and old infectious disease epidemics of global impact. Over the past three and half decades at least 30 new infectious agents affecting humans have emerged, most of which are zoonotic and their origins have been shown to correlate significantly with socioeconomic, environmental, and ecological factors. As these factors continue to increase, putting people in increased contact with the disease causing pathogens, there is concern that infectious diseases may continue to present a formidable challenge. Constant awareness and pursuance of effective strategies for controlling infectious diseases and disease emergence thus remain crucial. This review presents current updates on emerging and neglected infectious diseases and highlights the scope, dynamics, and advances in infectious disease management with particular focus on WHO top priority emerging infectious diseases (EIDs) and neglected tropical infectious diseases.",,"['Nii-Trebi, Nicholas Israel']",['Nii-Trebi NI'],"['Department of Medical Laboratory Sciences, School of Biomedical and Allied Health Sciences, University of Ghana, Accra, Ghana.']",['eng'],"['Journal Article', 'Review']",20170213,United States,Biomed Res Int,BioMed research international,101600173,IM,"['*Communicable Diseases, Emerging/diagnosis/economics/epidemiology/therapy', '*Cost of Illness', 'Humans', '*Neglected Diseases/diagnosis/economics/epidemiology/therapy']",PMC5327784,,,2017/03/14 06:00,2017/03/18 06:00,['2017/03/14 06:00'],"['2016/08/13 00:00 [received]', '2017/01/05 00:00 [revised]', '2017/01/16 00:00 [accepted]', '2017/03/14 06:00 [entrez]', '2017/03/14 06:00 [pubmed]', '2017/03/18 06:00 [medline]']",['10.1155/2017/5245021 [doi]'],ppublish,Biomed Res Int. 2017;2017:5245021. doi: 10.1155/2017/5245021. Epub 2017 Feb 13.,"['The author declares that there is no conflict of interests regarding the', 'publication of this paper.']",['ORCID: 0000-0001-5012-9564'],,,,,,,,,,,,,,,
22997875,NLM,MEDLINE,20121011,20151119,0300-5038 (Print) 0300-5038 (Linking),,163,2011,Infectious diseases.,421-40,,"Molecular tools have enhanced our understanding of the epidemiology of infectious diseases by describing the transmission system, including identifying novel transmission modes and reservoirs, identifying characteristics of the infectious agent that lead to transmission and pathogenesis, identifying potential vaccine candidates and targets for therapeutics, and recognizing new infectious agents. Applications of molecular fingerprinting to public health practice have enhanced outbreak investigation by objectively confirming epidemiologic evidence, and distinguishing between time-space clusters and sporadic cases. Clinically, moleculartools are used to rapidly detect infectious agents and predict disease course. Integration of molecular tools into etiologic studies has identified infectious causes of chronic diseases, and characteristics of the agent and host that modify disease risk. The combination of molecular tools with epidemiologic methods provides essential information to guide clinical treatment, and to design and implement programmes to prevent and control infectious diseases. However, incorporating molecular tools into epidemiologic studies of infectious diseases impacts study design, conduct, and analysis.",,"['Foxman, Betsy']",['Foxman B'],"['University of Michigan School of Public Health, Ann Arbor, Michigan, USA. bfoxman@umich.edu']",['eng'],"['Journal Article', 'Review']",,France,IARC Sci Publ,IARC scientific publications,8009542,IM,"['Biomarkers/*analysis', 'Communicable Diseases/*diagnosis/epidemiology/*transmission', 'Disease Susceptibility', 'Humans', '*Molecular Epidemiology', 'Risk Factors']",,,,2011/01/01 00:00,2012/10/12 06:00,['2012/09/25 06:00'],"['2012/09/25 06:00 [entrez]', '2011/01/01 00:00 [pubmed]', '2012/10/12 06:00 [medline]']",,ppublish,IARC Sci Publ. 2011;(163):421-40.,,,['0 (Biomarkers)'],,,,,,,,,,,,,,
26479830,NLM,MEDLINE,20160711,20220330,1873-6750 (Electronic) 0160-4120 (Linking),86,,2016 Jan,Impact of climate change on human infectious diseases: Empirical evidence and human adaptation.,14-23,S0160-4120(15)30048-9 [pii] 10.1016/j.envint.2015.09.007 [doi],"Climate change refers to long-term shifts in weather conditions and patterns of extreme weather events. It may lead to changes in health threat to human beings, multiplying existing health problems. This review examines the scientific evidences on the impact of climate change on human infectious diseases. It identifies research progress and gaps on how human society may respond to, adapt to, and prepare for the related changes. Based on a survey of related publications between 1990 and 2015, the terms used for literature selection reflect three aspects--the components of infectious diseases, climate variables, and selected infectious diseases. Humans' vulnerability to the potential health impacts by climate change is evident in literature. As an active agent, human beings may control the related health effects that may be effectively controlled through adopting proactive measures, including better understanding of the climate change patterns and of the compound disease-specific health effects, and effective allocation of technologies and resources to promote healthy lifestyles and public awareness. The following adaptation measures are recommended: 1) to go beyond empirical observations of the association between climate change and infectious diseases and develop more scientific explanations, 2) to improve the prediction of spatial-temporal process of climate change and the associated shifts in infectious diseases at various spatial and temporal scales, and 3) to establish locally effective early warning systems for the health effects of predicated climate change.",['Copyright (c) 2015 The Authors. Published by Elsevier Ltd.. All rights reserved.'],"['Wu, Xiaoxu', 'Lu, Yongmei', 'Zhou, Sen', 'Chen, Lifan', 'Xu, Bing']","['Wu X', 'Lu Y', 'Zhou S', 'Chen L', 'Xu B']","['State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing 100875, China.', 'Department of Geography, Texas State University, San Marcos, TX 78666-4684, USA. Electronic address: yl10@txstate.edu.', 'Center for Earth System Sciences, Tsinghua University Beijing, 100084, China.', 'State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing 100875, China.', 'State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing 100875, China; Center for Earth System Sciences, Tsinghua University Beijing, 100084, China; Department of Geography, University of Utah, Salt Lake City, UT 84112, USA. Electronic address: bingxu@tsinghua.edu.cn.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20151018,Netherlands,Environ Int,Environment international,7807270,IM,"['*Adaptation, Physiological', 'Animals', 'Climate', '*Climate Change', 'Communicable Diseases/*epidemiology/microbiology/parasitology/transmission', 'Disease Vectors', 'Humans', 'Weather']",,['NOTNLM'],"['Adaptation', 'Climate change', 'Health impact', 'Human infectious diseases', 'Pathogen', 'Transmission']",2015/10/20 06:00,2016/07/12 06:00,['2015/10/20 06:00'],"['2015/03/22 00:00 [received]', '2015/08/28 00:00 [revised]', '2015/09/02 00:00 [accepted]', '2015/10/20 06:00 [entrez]', '2015/10/20 06:00 [pubmed]', '2016/07/12 06:00 [medline]']","['S0160-4120(15)30048-9 [pii]', '10.1016/j.envint.2015.09.007 [doi]']",ppublish,Environ Int. 2016 Jan;86:14-23. doi: 10.1016/j.envint.2015.09.007. Epub 2015 Oct 18.,,,,,,,,,,,,,,,,,
10642539,NLM,MEDLINE,20000207,20220330,0036-8075 (Print) 0036-8075 (Linking),287,5452,2000 Jan 21,Emerging infectious diseases of wildlife--threats to biodiversity and human health.,443-9,,"Emerging infectious diseases (EIDs) of free-living wild animals can be classified into three major groups on the basis of key epizootiological criteria: (i) EIDs associated with ""spill-over"" from domestic animals to wildlife populations living in proximity; (ii) EIDs related directly to human intervention, via host or parasite translocations; and (iii) EIDs with no overt human or domestic animal involvement. These phenomena have two major biological implications: first, many wildlife species are reservoirs of pathogens that threaten domestic animal and human health; second, wildlife EIDs pose a substantial threat to the conservation of global biodiversity.",,"['Daszak, P', 'Cunningham, A A', 'Hyatt, A D']","['Daszak P', 'Cunningham AA', 'Hyatt AD']","['Institute of Ecology, University of Georgia, Athens, GA 30602, USA. daszak@uga.edu']",['eng'],"['Journal Article', 'Review']",,United States,Science,"Science (New York, N.Y.)",0404511,IM,"['Agriculture', 'Animals', 'Animals, Domestic', '*Animals, Wild', 'Climate', 'Communicable Diseases/epidemiology/etiology/transmission/*veterinary', 'Conservation of Natural Resources', 'Disease Reservoirs', '*Ecosystem', 'Humans', 'Zoonoses']",,,,2000/01/22 00:00,2000/01/22 00:01,['2000/01/22 00:00'],"['2000/01/22 00:00 [pubmed]', '2000/01/22 00:01 [medline]', '2000/01/22 00:00 [entrez]']","['8209 [pii]', '10.1126/science.287.5452.443 [doi]']",ppublish,Science. 2000 Jan 21;287(5452):443-9. doi: 10.1126/science.287.5452.443.,,,,['Science 2000 Mar 10;287(5459):1756'],['Science. 2000 Jun 30;288(5475):2319-20. PMID: 10917829'],73,,,,,,,,,,,
35421047,NLM,MEDLINE,20220610,20220624,1532-0987 (Electronic) 0891-3668 (Linking),41,7,2022 Jul 1,"Imported Infectious Diseases, Tropical Diseases and Local Endemic Infectious Diseases in Japan.",e275-e282,10.1097/INF.0000000000003541 [doi],"We aimed to describe the historical perspectives and the current epidemiology of tropical, imported and local endemic infectious diseases in Japan in this review. Public health legislation for infectious diseases and immigration statistics were overviewed to provide the background of the infectious disease situation in Japan. Many tropical diseases were successfully controlled and eliminated in the latter half of the 20th century and the majority of those diseases are imported today. The trend of the main 15 imported infectious diseases before the advent of COVID-19 was summarized as well as local endemic infectious diseases in Japan. Transmission risks of traditional cuisines, lifestyles and nature exposures in Japan are introduced to guide clinicians for travel advice to prevent those local infectious diseases.","['Copyright (c) 2022 Wolters Kluwer Health, Inc. All rights reserved.']","['Toizumi, Michiko', 'Horikoshi, Yuho']","['Toizumi M', 'Horikoshi Y']","['From the Department of Pediatric Infectious Diseases, Institute of Tropical Medicine, Nagasaki University, Nagasaki, Japan.', ""Division of Infectious Diseases, Department of Pediatrics, Tokyo Metropolitan Children's Medical Center, Tokyo, Japan.""]",['eng'],"['Journal Article', 'Review']",20220607,United States,Pediatr Infect Dis J,The Pediatric infectious disease journal,8701858,IM,"['*COVID-19/epidemiology', '*Communicable Diseases/epidemiology', '*Communicable Diseases, Imported/epidemiology/prevention & control', 'Humans', 'Japan/epidemiology', 'Travel']",,,,2022/04/15 06:00,2022/06/11 06:00,['2022/04/14 17:12'],"['2022/04/15 06:00 [pubmed]', '2022/06/11 06:00 [medline]', '2022/04/14 17:12 [entrez]']","['00006454-202207000-00017 [pii]', '10.1097/INF.0000000000003541 [doi]']",ppublish,Pediatr Infect Dis J. 2022 Jul 1;41(7):e275-e282. doi: 10.1097/INF.0000000000003541. Epub 2022 Jun 7.,['The authors have no funding or conflicts of interest to disclose'],"['ORCID: 0000-0002-8401-9344', 'ORCID: 0000-0001-5875-1024']",,,,,,,,,,,,,,,
15071364,NLM,MEDLINE,20040617,20191108,1070-5287 (Print) 1070-5287 (Linking),10,3,2004 May,Infectious diseases.,157-8,,,,"['Zumla, Alimuddin']",['Zumla A'],,['eng'],"['Editorial', 'Review']",,United States,Curr Opin Pulm Med,Current opinion in pulmonary medicine,9503765,IM,"['Communicable Diseases/*diagnosis/*therapy/transmission', 'Humans']",,,,2004/04/09 05:00,2004/06/18 05:00,['2004/04/09 05:00'],"['2004/04/09 05:00 [pubmed]', '2004/06/18 05:00 [medline]', '2004/04/09 05:00 [entrez]']","['00063198-200405000-00002 [pii]', '10.1097/00063198-200405000-00002 [doi]']",ppublish,Curr Opin Pulm Med. 2004 May;10(3):157-8. doi: 10.1097/00063198-200405000-00002.,,,,,,10,,,,,,,,,,,
29040428,NLM,MEDLINE,20190924,20220410,1537-6591 (Electronic) 1058-4838 (Print) 1058-4838 (Linking),66,5,2018 Feb 10,Understanding the Promises and Hurdles of Metagenomic Next-Generation Sequencing as a Diagnostic Tool for Infectious Diseases.,778-788,10.1093/cid/cix881 [doi],"Agnostic metagenomic next-generation sequencing (mNGS) has emerged as a promising single, universal pathogen detection method for infectious disease diagnostics. This methodology allows for identification and genomic characterization of bacteria, fungi, parasites, and viruses without the need for a priori knowledge of a specific pathogen directly from clinical specimens. Although there are increasing reports of mNGS successes, several hurdles need to be addressed, such as differentiation of colonization from infection, extraneous sources of nucleic acid, method standardization, and data storage, protection, analysis, and interpretation. As more commercial and clinical microbiology laboratories develop mNGS assays, it is important for treating practitioners to understand both the power and limitations of this method as a diagnostic tool for infectious diseases.",,"['Simner, Patricia J', 'Miller, Steven', 'Carroll, Karen C']","['Simner PJ', 'Miller S', 'Carroll KC']","['Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland.', 'Department of Laboratory Medicine, University of California, San Francisco.', 'Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland.']",['eng'],"['Journal Article', 'Review']",,United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,IM,"['Animals', 'Communicable Diseases/*diagnosis/*microbiology/parasitology', 'Humans', '*Metagenomics', 'Nucleic Acid Amplification Techniques/*trends']",PMC7108102,,,2017/10/19 06:00,2019/09/26 06:00,['2017/10/18 06:00'],"['2017/07/28 00:00 [received]', '2017/10/11 00:00 [accepted]', '2017/10/19 06:00 [pubmed]', '2019/09/26 06:00 [medline]', '2017/10/18 06:00 [entrez]']","['4460112 [pii]', 'cix881 [pii]', '10.1093/cid/cix881 [doi]']",ppublish,Clin Infect Dis. 2018 Feb 10;66(5):778-788. doi: 10.1093/cid/cix881.,,,,,,,,,,,,,,,,,
33854221,NLM,MEDLINE,20210803,20210803,1748-3395 (Electronic) 1748-3387 (Linking),16,4,2021 Apr,Nanotechnology for infectious diseases.,1,10.1038/s41565-021-00909-0 [doi],,,,,,['eng'],['Editorial'],,England,Nat Nanotechnol,Nature nanotechnology,101283273,IM,"['Communicable Diseases/microbiology/*therapy', 'Humans', 'Nanotechnology/*trends']",,,,2021/04/16 06:00,2021/08/04 06:00,['2021/04/15 07:12'],"['2021/04/15 07:12 [entrez]', '2021/04/16 06:00 [pubmed]', '2021/08/04 06:00 [medline]']","['10.1038/s41565-021-00909-0 [pii]', '10.1038/s41565-021-00909-0 [doi]']",ppublish,Nat Nanotechnol. 2021 Apr;16(4):1. doi: 10.1038/s41565-021-00909-0.,,,,,,,,,,,,,,,,,
